
ApplicationBackgroundBrush	                        Sfondo dell'applicazione
SurfaceStrokeColorFlyoutBrush	                    Colore del tratto della superficie per i menu a comparsa (flyout)
SurfaceStrokeColorInverseBrush	                    Colore del tratto della superficie inverso
DividerStrokeColorDefaultBrush	                    Colore del tratto del divisore predefinito
FocusStrokeColorOuterBrush	                        Colore del tratto del focus esterno
FocusStrokeColorInnerBrush	                        Colore del tratto del focus interno
	
CardBackgroundFillColorDefaultBrush	                Colore di riempimento dello sfondo della scheda predefinito
CardBackgroundFillColorSecondaryBrush	            Colore di riempimento dello sfondo della scheda secondario
SmokeFillColorDefaultBrush	                        Colore di riempimento effetto fumo (smoke) predefinito
LayerFillColorDefaultBrush	                        Colore di riempimento del livello predefinito
LayerFillColorAltBrush	                            Colore di riempimento del livello alternativo
	
LayerOnAcrylicFillColorDefaultBrush	                Colore di riempimento del livello su acrilico predefinito
LayerOnAccentAcrylicFillColorDefaultBrush	        Colore di riempimento del livello su acrilico accentato predefinito
	
LayerOnMicaBaseAltFillColorDefaultBrush	            Colore di riempimento del livello su base Mica alternativa predefinito
LayerOnMicaBaseAltFillColorSecondaryBrush	        Colore di riempimento del livello su base Mica alternativa secondario
LayerOnMicaBaseAltFillColorTertiaryBrush	        Colore di riempimento del livello su base Mica alternativa terziario
LayerOnMicaBaseAltFillColorTransparentBrush	        Colore di riempimento del livello su base Mica alternativa trasparente
	
SolidBackgroundFillColorBaseBrush	                Colore di riempimento dello sfondo solido di base
SolidBackgroundFillColorSecondaryBrush	            Colore di riempimento dello sfondo solido secondario
SolidBackgroundFillColorTertiaryBrush	            Colore di riempimento dello sfondo solido terziario
SolidBackgroundFillColorQuarternaryBrush            Colore di riempimento dello sfondo solido quaternario
SolidBackgroundFillColorBaseAltBrush	            Colore di riempimento dello sfondo solido di base alternativo
	
SystemFillColorSuccessBrush	                        Colore di riempimento di sistema per successo
SystemFillColorCautionBrush	                        Colore di riempimento di sistema per cautela/attenzione
SystemFillColorCriticalBrush	                    Colore di riempimento di sistema per errore critico
SystemFillColorNeutralBrush	                        Colore di riempimento di sistema neutro
SystemFillColorSolidNeutralBrush	                Colore di riempimento di sistema neutro solido
	
SystemFillColorAttentionBackgroundBrush	            Colore dello sfondo di sistema per attenzione
SystemFillColorSuccessBackgroundBrush	            Colore dello sfondo di sistema per successo
SystemFillColorCautionBackgroundBrush	            Colore dello sfondo di sistema per cautela
SystemFillColorCriticalBackgroundBrush	            Colore dello sfondo di sistema per errore critico
SystemFillColorNeutralBackgroundBrush	            Colore dello sfondo di sistema neutro
SystemFillColorSolidAttentionBackgroundBrush	    Colore dello sfondo di sistema per attenzione solido
SystemFillColorSolidNeutralBackgroundBrush	        Colore dello sfondo di sistema neutro solido
